,mid,gid
265,399566,12
266,404481,12
267,410594,12
268,411907,12
269,413198,12
270,413658,12
271,415214,12
272,420644,12
273,422531,12
274,433845,12
275,435800,12
276,437543,12
277,438277,12
278,446142,12
279,449096,12
280,450692,12
281,451199,12
282,451652,12
283,451653,12
284,451671,12
285,451672,12
286,451770,12
287,451775,12
288,451804,12
289,451937,12
290,451965,12
291,452551,12
292,452734,12
293,453660,12
294,455231,12
295,455578,12
296,455581,12
297,456797,12
298,460555,12
299,462213,12
300,462217,12
301,462253,12
302,462278,12
303,462774,12
304,463044,12
305,466438,12
306,467136,12
307,467139,12
308,467602,12
309,467610,12
310,467619,12
311,467703,12
312,467705,12
313,467707,12
314,467717,12
315,468273,12
316,472529,12
317,473770,12
318,473920,12
319,476310,12
320,476819,12
321,478880,12
322,478887,12
323,478954,12
324,478956,12
325,481106,12
326,481308,12
327,481340,12
328,481394,12
329,482073,12
330,482257,12
331,482283,12
332,482637,12
333,482648,12
334,483285,12
335,483386,12
336,485262,12
337,485264,12
338,485430,12
339,485449,12
340,285,14
341,672,14
342,673,14
343,674,14
344,675,14
345,767,14
346,844,14
347,1494,14
348,1499,14
349,1729,14
350,1735,14
351,1996,14
352,2008,14
353,2137,14
354,2270,14
355,4961,14
356,9048,14
357,9050,14
358,9449,14
359,9470,14
360,10109,14
361,10610,14
362,10852,14
363,11653,14
364,11817,14
365,12211,14
366,12444,14
367,12445,14
368,13345,14
369,13402,14
370,13688,14
371,13836,14
372,14164,14
373,14449,14
374,15026,14
375,15724,14
376,16321,14
377,17808,14
378,18672,14
379,18814,14
380,18817,14
381,20342,14
382,25187,14
383,25384,14
384,30421,14
385,32091,14
386,32654,14
387,35117,14
388,36276,14
389,36586,14
390,37034,14
391,37711,14
392,37848,14
393,38155,14
394,39278,14
395,39900,14
396,39915,14
397,40166,14
398,40207,14
399,41400,14
400,41490,14
401,42230,14
402,42340,14
403,43636,14
404,44424,14
405,44914,14
406,45385,14
407,45394,14
408,45397,14
409,45417,14
410,45442,14
411,45452,14
412,45464,14
413,45480,14
414,45912,14
415,46528,14
416,49636,14
417,50154,14
418,50936,14
419,51885,14
420,52324,14
421,57104,14
422,60898,14
423,63444,14
424,63446,14
425,64988,14
426,64990,14
427,65193,14
428,66014,14
429,67080,14
430,67347,14
431,68867,14
432,68883,14
433,69594,14
434,69865,14
435,70530,14
436,70697,14
437,70916,14
438,74257,14
439,74262,14
440,74887,14
441,75464,14
442,75519,14
443,75812,14
444,75835,14
445,75948,14
446,80268,14
447,80485,14
448,80640,14
449,80779,14
450,82061,14
451,84275,14
452,85014,14
453,85259,14
454,85874,14
455,95990,14
456,96466,14
457,98164,14
458,101189,14
459,102468,14
460,104262,14
461,104313,14
462,104509,14
463,104583,14
464,104586,14
465,104589,14
466,104597,14
467,104599,14
468,104675,14
469,104681,14
470,104689,14
471,105001,14
472,105872,14
473,106423,14
474,106463,14
475,106465,14
476,106470,14
477,106649,14
478,106651,14
479,106652,14
480,106654,14
481,106656,14
482,106661,14
483,106665,14
484,106672,14
485,106703,14
486,106713,14
487,106718,14
488,106778,14
489,107910,14
490,112594,14
491,124471,14
492,138530,14
493,141941,14
494,142300,14
495,152251,14
496,154524,14
497,154529,14
498,157421,14
499,159597,14
500,159818,14
501,170657,14
502,172607,14
503,172780,14
504,172972,14
505,173018,14
506,173042,14
507,173124,14
508,181870,14
509,187440,14
510,190423,14
511,200170,14
512,201358,14
513,217923,14
514,220724,14
515,221076,14
516,221461,14
517,246942,14
518,250482,14
