DRAW,LOST,WIN,conpetition,fid,gname,gscore,gstanding,handline,hname,hscore,hstanding,stime,team_a_since_Statistics,team_a_since_all_score,team_a_since_guest_score,team_a_since_host_score,team_b_since_Statistics,team_b_since_all_score,team_b_since_guest_score,team_b_since_host_score,water1,water_2,winner
5.4,12.0,1.2,EC,88653,诺维奇,1.0,20,球半/两球,阿森纳,4.0,3,2005-04-02 22:00,"['30', '19', '7', '4', '68', '32', '36', '3', '64%']",64%,67%,60%,"['30', '3', '11', '16', '29', '59', '-30', '20', '10%']",10%,0%,20%,0.9,1.0,阿森纳
3.2,3.1,2.15,EC,88654,托特纳姆热刺,1.0,8,平手,伯明翰,1.0,13,2005-04-02 22:00,"['30', '9', '8', '13', '33', '37', '-4', '13', '30%']",30%,20%,40%,"['30', '12', '6', '12', '37', '34', '3', '8', '40%']",40%,34%,47%,0.8,1.1,平
3.2,2.55,2.5,EC,88657,米德尔斯堡,1.0,9,平手,水晶宫,0.0,18,2005-04-02 22:00,"['30', '6', '8', '16', '33', '49', '-16', '18', '20%']",20%,7%,34%,"['30', '11', '9', '10', '44', '42', '2', '9', '37%']",37%,27%,47%,0.85,1.05,米德尔斯堡
3.4,4.5,1.7,EC,88659,博尔顿,0.0,6,半球,利物浦,1.0,5,2005-04-02 22:00,"['30', '14', '5', '11', '43', '31', '12', '5', '47%']",47%,27%,67%,"['30', '13', '7', '10', '38', '34', '4', '6', '44%']",44%,40%,47%,0.97,0.93,利物浦
4.9,10.0,1.25,EC,88660,布莱克本,0.0,14,球半,曼彻斯特联,0.0,2,2005-04-02 22:00,"['30', '19', '9', '2', '48', '17', '31', '2', '64%']",64%,54%,74%,"['30', '7', '11', '12', '25', '37', '-12', '14', '24%']",24%,27%,20%,0.9,1.0,平
3.3,4.1,1.8,EC,88661,阿斯顿维拉,3.0,11,半球/一球,纽卡斯尔联,0.0,10,2005-04-02 22:00,"['29', '9', '11', '9', '41', '45', '-4', '10', '32%']",32%,15%,47%,"['30', '10', '8', '12', '34', '39', '-5', '11', '34%']",34%,14%,54%,1.0,0.9,阿斯顿维拉
3.5,1.45,7.8,EC,88662,切尔西,3.0,1,受一球,南安普敦,1.0,17,2005-04-03 00:15,"['30', '5', '12', '13', '33', '45', '-12', '17', '17%']",17%,7%,27%,"['30', '24', '5', '1', '58', '10', '48', '1', '80%']",80%,80%,80%,0.8,1.1,切尔西
3.2,3.45,2.0,EC,88658,朴茨茅斯,1.0,15,平手/半球,富勒姆,3.0,16,2005-04-03 20:30,"['29', '8', '6', '15', '33', '47', '-14', '16', '28%']",28%,20%,36%,"['30', '8', '7', '15', '32', '46', '-14', '15', '27%']",27%,14%,40%,0.85,1.05,富勒姆
3.2,2.2,3.0,EC,88663,埃弗顿,0.0,4,平手,西布罗姆维奇,1.0,19,2005-04-03 23:05,"['30', '4', '12', '14', '29', '51', '-22', '19', '14%']",14%,7%,20%,"['30', '15', '6', '9', '35', '32', '3', '4', '50%']",50%,40%,60%,1.1,0.8,西布罗姆维奇
3.4,1.6,5.5,EC,88644,阿森纳,1.0,3,受半球/一球,布莱克本,0.0,14,2005-03-19 20:45,"['29', '7', '11', '11', '25', '36', '-11', '14', '25%']",25%,27%,22%,"['29', '18', '7', '4', '67', '32', '35', '3', '63%']",63%,65%,60%,0.9,1.0,阿森纳
3.4,5.5,1.6,EC,88646,西布罗姆维奇,4.0,19,半球/一球,查尔顿,1.0,7,2005-03-19 23:00,"['29', '12', '7', '10', '34', '38', '-4', '7', '42%']",42%,27%,58%,"['29', '3', '12', '14', '25', '50', '-25', '19', '11%']",11%,0%,20%,0.95,0.95,西布罗姆维奇
5.2,13.0,1.2,EC,88647,水晶宫,1.0,17,球半/两球,切尔西,4.0,1,2005-03-19 23:00,"['29', '23', '5', '1', '54', '9', '45', '1', '80%']",80%,80%,79%,"['29', '6', '8', '15', '32', '45', '-13', '17', '21%']",21%,8%,34%,1.05,0.85,切尔西
4.5,10.0,1.28,EC,88649,富勒姆,0.0,15,球半,曼彻斯特联,1.0,2,2005-03-19 23:00,"['29', '18', '9', '2', '47', '17', '30', '2', '63%']",63%,54%,72%,"['28', '8', '6', '14', '33', '46', '-13', '15', '29%']",29%,22%,36%,0.9,1.0,曼彻斯特联
3.25,2.65,2.4,EC,88651,纽卡斯尔联,1.0,11,平手,朴茨茅斯,1.0,16,2005-03-19 23:00,"['29', '8', '6', '15', '31', '45', '-14', '16', '28%']",28%,14%,43%,"['28', '9', '10', '9', '40', '44', '-4', '11', '33%']",33%,16%,47%,0.9,1.0,平
3.2,3.6,1.95,EC,88652,曼彻斯特城,1.0,12,半球,托特纳姆热刺,2.0,9,2005-03-19 23:00,"['29', '11', '6', '12', '35', '33', '2', '9', '38%']",38%,34%,43%,"['29', '9', '9', '11', '34', '32', '2', '12', '32%']",32%,29%,34%,0.98,0.92,托特纳姆热刺
3.4,5.5,1.6,EC,88645,诺维奇,0.0,20,半球/一球,博尔顿,1.0,6,2005-03-20 01:15,"['29', '12', '7', '10', '37', '34', '3', '6', '42%']",42%,40%,43%,"['29', '3', '11', '15', '29', '58', '-29', '20', '11%']",11%,0%,20%,0.95,0.95,博尔顿
3.2,3.2,2.1,EC,88643,阿斯顿维拉,0.0,10,平手/半球,伯明翰,2.0,13,2005-03-20 20:00,"['29', '8', '8', '13', '31', '37', '-6', '13', '28%']",28%,20%,36%,"['29', '10', '8', '11', '34', '37', '-3', '10', '35%']",35%,15%,54%,0.9,1.0,伯明翰
